Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
40200	-1628.31149204285	5	4	0
40300	-1636.99223783025	6	8	0
40400	-1607.7227644032	3	3	0
40500	-1611.93665169492	5	2	0
40600	-1630.10314738511	6	6	0
40700	-1620.94985216756	6	4	0
40800	-1632.51114320819	8	5	0
40900	-1624.6776194035	7	2	0
41000	-1611.07749837189	6	2	0
41100	-1598.57335741706	4	1	0
41200	-1610.2417600128	6	2	0
41300	-1604.12654783355	4	2	0
41400	-1599.34774270468	4	1	0
41500	-1609.83462938715	4	4	0
41600	-1603.36796127139	5	1	0
41700	-1621.35413781599	7	3	0
41800	-1612.99458940509	6	1	0
41900	-1618.91639066524	5	4	0
42000	-1606.39008811941	3	3	0
42100	-1615.82240842076	6	3	0
42200	-1613.33868290409	5	3	0
42300	-1613.65842969368	4	4	0
42400	-1601.05578293965	3	2	0
42500	-1603.70335682879	4	2	0
42600	-1610.03920062238	4	4	0
42700	-1604.56615696303	4	2	0
42800	-1603.42916379012	3	3	0
42900	-1610.36468670284	4	4	0
43000	-1610.6087603605	6	1	0
43100	-1600.68028774859	5	1	0
43200	-1616.15737186584	7	2	0
43300	-1603.78929770853	4	3	0
43400	-1610.69930368535	4	3	0
43500	-1604.65119699358	4	2	0
43600	-1600.38967761395	3	2	0
43700	-1610.5489254038	4	4	0
43800	-1606.8370779611	4	3	0
43900	-1616.85359588763	4	5	0
44000	-1622.5611993975	6	5	0
44100	-1617.29200748177	3	5	0
44200	-1626.84369980828	6	4	0
44300	-1605.91516144472	2	3	0
44400	-1630.89156278408	6	5	0
44500	-1607.42386963373	2	2	0
44600	-1607.72339980479	1	2	0
44700	-1616.61463006196	1	4	0
44800	-1614.08113382003	4	2	0
44900	-1612.83220730093	2	4	0
45000	-1623.74104121199	4	4	0
45100	-1609.05511837755	3	1	0
45200	-1608.10250185133	3	1	0
45300	-1615.31404273685	3	3	0
45400	-1613.29563822765	2	3	0
45500	-1614.49456881747	2	3	0
45600	-1622.04375923301	4	3	0
45700	-1618.16101598998	4	3	0
45800	-1611.16255428223	1	3	0
45900	-1610.58690640157	1	2	0
46000	-1610.97659834431	2	2	0
46100	-1612.32963279471	3	3	0
46200	-1611.19118334521	2	4	0
46300	-1611.17996059422	4	3	0
46400	-1614.63247001307	3	2	0
46500	-1617.14381356908	3	2	0
46600	-1618.3774434254	2	5	0
46700	-1619.64123366267	4	2	0
46800	-1609.72479512396	2	3	0
46900	-1610.71716943804	2	2	0
47000	-1616.58658014486	3	3	0
47100	-1611.67604182949	3	2	0
47200	-1618.20597491126	3	4	0
47300	-1620.23340442838	2	5	0
47400	-1623.77149507029	2	6	0
47500	-1622.23949155397	4	4	0
47600	-1619.30333406916	3	4	0
47700	-1619.18119327169	2	5	0
47800	-1618.68992719902	2	5	0
47900	-1620.63824133826	2	5	0
48000	-1625.10482180234	4	4	0
48100	-1615.60314444152	1	5	0
48200	-1619.03361509363	2	5	0
48300	-1616.50122392506	2	4	0
48400	-1628.96447802588	3	6	0
48500	-1615.03076861329	4	2	0
48600	-1620.60656431166	2	5	0
48700	-1608.8080637105	2	2	0
48800	-1611.6492783938	2	3	0
48900	-1608.61787810668	2	2	0
49000	-1614.7452038042	3	2	0
49100	-1610.04638676618	2	2	0
49200	-1610.86360888611	2	2	0
49300	-1611.65327444958	2	4	0
49400	-1610.05704475264	4	2	0
49500	-1624.53760189526	5	3	0
49600	-1643.78355275812	6	7	0
